,Unnamed: 0,responce,question
0,603,We'll be sure to pass along your kind words! ,Erica on the lax team is amazing give her a raise ty
1,605,Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.,Could you have someone on your lax team available to guide me to my gate ASAP
2,608,"Aww, that's definitely a future pilot in the making! ",Ben Tennyson and an American Airlines pilot. ð 
3,612,We're sorry for your frustration.,"Right, but I earned those. I also shouldnât have to pay to pass them to my own spouse. You need to change your program."
4,618,We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.,"Thank you, for playing "
5,1315,We never want your experience to be anything less than perfect. We're sorry the Wi-Fi was slower than expected.,wifi makes Amtrak's wifi look pro. At least theirs is free.  has decent wifi prices. Why not AA?
6,1317,"Thanks for the shout-out and for stopping by, Marc! We'll pass this on to our SFO Admirals Club managers.","Wonderful club! (Airlines Admirals Club in San Francisco, CA) https://t.co/GWFwuGVgNA"
7,1321,They'll be more than happy to walk you through it and help with the booking process.,"already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!!"
8,1324,We're sorry for the long wait. The next available agent will be with you as soon as possible.,........still....on....hold.....they made the booking. I am trying to pay.....so 
9,1326,Fares sell in real time. We're sorry we weren't able to snag the lower fare for you.,well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg
10,1329,We're glad our Reservations team was able to help.,finally booked and they honored lower fare....that was still available on line
11,1332,We're sorry for your frustration. Any damage must be assessed in person within 24 hours of arrival by airport personnel.,Well how much does that help me now?
12,1334,An airport agent will be happy to take a look at your bag to assist with a claim but damage must be assessed in person.,I was long gone from the airport by then
13,1336,"Our team will need to assess the damage in person, please see an agent for assistance.",No I was not able to
14,1340,We're happy when you're happy! That sure does look delicious.,Big thx 2 4 guacamole and margs of thx while the lounge upgrades are underway 
15,2206,We always want everyone to be comfy. You can ask our crew about any available open seats.,"Oh, my god, sheâs been going for ten minutes."
16,2222,"Oh my, that ",- I give you grief when things go poorly.  Hereâs some credit: The guacamole in the Admirals Club is an outstanding addition. https://t.co/kfjAW6FMTf
17,2224,We'd like to share this feedback. Please DM your record locator.,"I'm aware. Fits in overhead.This was a return trip. Had same luggage going. This was pre-security. Gate chck, ok, but Empty overheads on flt"
18,2226,Your guitar must fit underneath the seat in front of you or in an overhead bin. Please see details here: https://t.co/AqqDo7qAE3.,"Despite flying w/ same from EWR, forced to check guitar &amp; charged $25. Not B4 security. Flt not full. WHY?"
19,2228,Please share your record locator via DMs and we can take look.,Yo why are there fifteen empty business class seats and only one person that got upgraded? 
20,2230,"Did you file a report with us? If you did, please send us a DM and include that in so we can take a look.",Still waiting on to compensate for all the crap they put and I through on our honeymoon...almost a year ago. ð¤
21,2652,"We hear you, Liam. We're working as fast as we can to update our fleet and will soon have super fast Wi-Fi to stream movies.",Really 7hour international flight and no seat back entertainment screens.. câmon
22,2654,We appreciate your feedback!,Iâd still rather have a screen though. Rather not cause neck problems looking down all flight at a tablet
23,2656,Thanks for your kind words! We hope you have a fantastic evening.,Just have to say the Flight Attenants on Flight 1361 from BDL to ORD weâre awesome! Gate agents at BDL also! They need a shout out for awesome customer service! Treated this NonRev very well!!
24,2658,"We're very sorry about that, Perla. We always want your experience to go smoothly.",En todos los aÃ±os que tengo volando con 
25,2660,"That's the most current info, but if there is any further update our gate team will provide it as it becomes available.",Yes I see that. Your app says the incoming flight arrives at 10:05 so how are we going to take off at 10:10? https://t.co/vZxyxOa1xo
26,2664,Looks like it has a maintenance delay and it's currently scheduled to take off at 10:10p.,whatâs going on with flight 301 DTW &gt; DFW? Delayed over 3 hours. Will it be canceled?
27,2666,Our crew is there to serve you and not deceive you in any way. We're also here to help so please share your flight details via DMs.,I have flown 15 times in the past 12 months and only departed on schedule 4 times.
28,2669,"Our offer still stands to assist, Andrew.","Not only has my family, and several other families been inconvenienced by  today - this is now 16 flights in one year with only 5 ""on time"" departures."
29,2673,We're sorry for the delay. The previous pilot may not have been aware of the problem. We appreciate your patience.,"stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a ""few minutes"" to fix. Why wasn't this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time?"
30,2675,"Please DM your record locator, we'd like to forward this feedback.",I was forced to check my small suitcase. Never happened before.  There was plenty of storage space too. Fml
31,2677,"We're sorry for the extended travel time today, Ally. Our team is working hard to reunite you with your bags.","Give me and the 50,000 other people our bags "
32,2683,"We see you're arriving just a few minutes early, we're always working to get you to your destination as soon as possible.",The audacity of 1416 landing early tonight. I might have to negotiate a shared ride cause thereâs no taxis. 
33,2685,"Hi, Matt, we've your info but we'd like to verify which trip you'd like to cancel. Please DM your record locator with the unwanted return.",I had to end my trip way sooner than expected. :( Bought a new flight because it was way cheaper than changing my return. What do I need to do to cancel my return so someone can have that seat?
34,2687,Thanks for your loyalty! It means the world to us.,Thank you for being responsive and helpful and more than making up for a bad flight!  
35,2689,"You wouldn't get those perks on BA, Martin.","if I have the platinum select aadvantage card and I purchased an intâl ticket through your site but it ended up being on British Air, will I still retain the same benefits of my aadvantage card on this flight (I.e, early boarding)?"
36,2691,"Our sincere apologies for any last minute gate changes, we know that's not fun. Please let us know if we can help here.","Letâs see if your social media team will respond here, as they obviously overlook negative feedback on Facebook. "
